,id,title,pressing_year,album_year,country,artist,artist_id,format,lp_quantity,pressing,description,genres,styles,wants,haves,rating,lowest_sold_usd,median_sold_usd,highest_sold_usd,url
0,30433649,Something About Us (Love Theme From Interstella 5555),2024,2003,"USA, Canada & Europe",['Daft Punk'],[1289],Vinyl,1,['Standard Black'],"['12""', '45 RPM', 'Record Store Day', 'Limited Edition', 'Reissue']",['Electronic'],"['House', 'Breaks', 'Disco']",813,3025,4.7,21.73,45.59,98.88,https://www.discogs.com/release/30433649-Daft-Punk-Something-About-Us-Love-Theme-From-Interstella-5555
1,21511162,Sometimes I Might Be Introvert,2021,2021,UK,['Little Simz'],[3887166],Vinyl,2,['Clear [Milky Clear]'],"['LP', 'Album', 'Limited Edition']",['Hip Hop'],['Conscious'],528,1586,4.5,21.74,34.77,130.43,https://www.discogs.com/release/21511162-Little-Simz-Sometimes-I-Might-Be-Introvert
2,30436742,Pink Pony Club,2024,2020,US,['Chappell Roan'],[6360106],Vinyl,1,['Pink'],"['7""', '45 RPM', 'Record Store Day', 'Single', 'Limited Edition']",['Pop'],,2563,954,4.5,18.93,182.0,299.95,https://www.discogs.com/release/30436742-Chappell-Roan-Pink-Pony-Club
3,5189023,The Hissing Of Summer Lawns,1975,1975,US,['Joni Mitchell'],[90233],Vinyl,1,['PRC'],"['LP', 'Album']","['Jazz', 'Rock', 'Folk, World, & Country']","['Acoustic', 'Fusion', 'Contemporary Jazz']",244,1302,4.1,4.95,10.04,20.0,https://www.discogs.com/release/5189023-Joni-Mitchell-The-Hissing-Of-Summer-Lawns
4,28763101,Bewitched (Spooky Edition),2023,2023,Worldwide,['Laufey'],[10016131],Vinyl,1,"['Orange, Pumpkin-shaped']","['12""', '45 RPM', 'Shape', 'EP', 'Special Edition']",['Jazz'],['Contemporary Jazz'],564,716,4.5,40.0,68.0,85.0,https://www.discogs.com/release/28763101-Laufey-Bewitched-Spooky-Edition
5,27141000,1989,2023,2014,US,['Taylor Swift'],[1124645],Vinyl,2,['Vantiva Pressing'],"['LP', 'Album', 'Reissue']",['Pop'],"['Synth-pop', 'Ballad']",251,2410,4.8,15.0,23.99,29.99,https://www.discogs.com/release/27141000-Taylor-Swift-1989
6,11256175,Reputation,2017,2017,USA & Europe,['Taylor Swift'],[1124645],Vinyl,2,['Standard Black'],"['LP', 'Album', 'Picture Disc']","['Electronic', 'Pop']","['Dance-pop', 'Dark Electro', 'Synth-pop']",8399,40969,4.6,15.0,40.5,54.24,https://www.discogs.com/release/11256175-Taylor-Swift-Reputation
7,29951371,Eras Of Us,2024,2024,USA & Europe,['Fletcher'],[3931647],Vinyl,1,['Standard Black'],"['7""', '45 RPM', 'Single']",['Pop'],['Bubblegum'],36,217,5.0,,,,https://www.discogs.com/release/29951371-Fletcher-Eras-Of-Us
8,30214778,In Search Of The Antidote ,2024,2024,US,['Fletcher'],[3931647],Vinyl,1,['Red & Clear'],['LP'],['Pop'],,24,225,4.6,,,,https://www.discogs.com/release/30214778-Fletcher-In-Search-Of-The-Antidote-
9,30818067,Girls Girls Girls / Cherry,2024,2024,US,['Fletcher'],[3931647],Vinyl,1,['Translucent Red'],"['7""', '45 RPM', 'Single', 'Limited Edition', 'Special Edition']",['Pop'],,31,241,4.5,58.99,58.99,58.99,https://www.discogs.com/release/30818067-FLETCHER-Girls-Girls-Girls-Cherry
